,p158,p159,p160,p23,p24
r149,7314.181152,3916.820313,-111.0632629,12384.03613,987.2630615
r150,6961.670804,10160.97562,4069.245554,4183.205721,2243.321812
r151,-8996.769307,-17858.9171,-6561.94946,-4238.008112,-2809.679212
r152,-8135.111084,-16614.95117,-5656.876465,-3999.164551,-1808.394592
r153,-29859.23047,-52616.51563,-18914.86719,-24720.24219,-16435.41016
r154,37173.41162,56533.33594,18803.80392,37104.27832,17422.67322
r155,5348.424726,7390.0499,2976.770421,2870.064327,1319.803213
r156,12172.20451,21885.12522,8194.382147,6804.743032,4172.360758
r157,-0.319480608,-0.538193466,-0.780167258,-0.184296299,-1.80550951
r158,5.97624E+12,5.94875E+12,5.81427E+11,5.02954E+12,4.4531E+11
r159,0.001839328,0.008494017,0.007332541,0.00183296,0.005519059
r160,67220704.74,160017785.7,24088718.06,28343814.97,9514297.025
r161,-17722.49844,-34100.9375,-12514.48203,-9674.061133,-5823.328125
r162,1715.652051,-153.5894547,-388.5801514,2323.157617,149.9371841
r163,1.01723E+11,48220252451,8907119787,79634809835,5930127220
r164,9.135950853,6.909944529,7.197225752,9.25312814,7.601745577
r165,12350.62553,15083.9502,6784.401245,6441.805801,2415.578186
r166,2.106430336,2.564330931,2.537584597,3.527676158,7.003812756
r167,7342.391113,6224.149414,635.0795898,11062.23633,1217.472168
r168,6363.339634,9835.745144,3798.348222,3873.316942,1949.065818
r169,-7357.766308,-15176.02085,-5502.128345,-3493.766894,-2264.967766
r170,-6664.458008,-13618.18555,-4481.77417,-3254.684326,-1455.260071
r171,-25559.56641,-47307.96484,-16837.26172,-23033.4668,-15197.46777
r172,32901.95752,53532.11426,17472.34131,34095.70313,16414.93994
r173,4917.674073,7023.207182,2789.185318,2649.152915,1132.62532
r174,10469.71633,19485.55945,7154.742735,6048.1459,3537.063319
r175,-0.266994945,-0.503860953,-0.733549826,-0.244924341,-1.871853019
r176,4.42139E+12,4.71578E+12,4.43252E+11,3.97328E+12,3.20026E+11
r177,0.002008862,0.008494017,0.007200423,0.001947322,0.006186687
r178,55478234.94,149375418.5,20916927.27,24373661.71,7380737.94
