ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
R01-105,0.69,-0.24,0.45,-2.86,-2.74,1.44,1.48,-1.57,-1.09,2.75,-0.15,-3.01,-0.41,-1.23,0.57,1.01,0.13,-0.39
R01-106,-0.31,0.09,0.46,-2.12,-2.58,0.44,-0.18,0.36,-1.49,3.22,-0.26,-2.15,-0.55,0.66,-0.51,0.5,0.31,0.19
R01-109,0.57,-4.69,-0.89,9.06,3.38,-4.04,-4.59,6.22,2.12,-5.65,-1.53,4.75,-0.2,-0.5,2.47,-1.38,0.28,-0.01
R01-110,4.34,-5.98,-1.05,-1.01,-1.29,3.33,0.22,-6.47,5.26,-7.4,0.53,-0.84,0.92,-0.24,1.28,0.01,0.16,-0.1
R01-113,2.23,14.8,2.58,-6.54,-1.81,3.45,8.43,-4.55,-3.36,6.27,4.85,-6,-0.39,-2.27,2.8,-0.04,0.21,-0.31
R01-115,-0.75,12.83,2.09,-3.48,-2.59,3.03,4.48,-3.09,-3.38,7.27,1.8,-3.55,0.26,0.42,-0.62,-0.44,0.05,0.03
R01-118,-7,-1.51,2,2.21,-2.9,-1.62,-2.43,7.56,-5.32,9.17,-8.49,4.99,-0.35,-0.75,-1.25,0.07,-0.62,0.36
R01-126,-3.37,-4.51,-1.77,11.7,-1.24,-0.93,-2.75,4.86,-1.72,0.41,-5.18,10.41,2.51,0.21,0.44,-2.07,1.03,3.34
R01-128,-0.53,-1.48,0.9,-3.02,3.14,-3.67,-3.64,3.24,-0.68,-2.02,2.92,0.59,-0.52,4.02,-4.38,1.42,-0.03,0.25
R01-130,-1.91,-1.31,-1.18,-2.64,-1.93,0.04,-0.76,-2.27,-2.62,4.18,-1.56,-1.61,0.28,-1.43,-1.45,1.15,-0.27,1.4
R01-131,-1.85,6.8,1.82,1.83,-1.55,-3.7,-2.61,8.47,-7.78,17.21,-1.54,-1.64,-2.49,1.33,1.41,0.5,-1.32,2.21
R01-132,-0.48,-2.08,0.87,1.17,3.85,-5.28,-3.8,9.22,-5.44,6.66,-0.32,-0.89,-2.52,-2.33,0.88,0.71,0.02,-1.66
R01-136,-1.59,8.14,4.33,-0.39,-3.65,-1.23,-1.1,0.88,-5.98,11.83,-0.82,-1.64,-0.35,0.23,1.41,0.09,0.29,0.36
R01-140,-0.71,5.57,3.24,-1.37,-1.94,0.1,0.02,1.81,-5.22,9.42,-2.73,0.11,-0.18,0.47,0.5,0.82,0.93,0.71
R01-142,-3.39,0.1,1.59,3.72,-1.31,-2.98,-3.36,7.43,-5.87,10.98,-3.91,4.01,-0.43,-0.38,-0.88,-0.16,-3.41,-0.99
R01-146,-3.48,5.82,0.54,0.48,-0.47,-1.59,-1.66,4.91,-4.25,6.71,-0.63,-3.59,-2.47,0.56,-1.41,0.12,0.19,-0.45
R01-147,1.61,0,-1.83,-3.45,-0.87,2.27,1.66,-5.65,4.77,-5.72,1.86,-3.92,-0.03,1,-0.82,0.41,0.54,0.05
R01-148,1.83,5.21,2.71,-4.8,-2.48,5.3,9.18,-8.56,4.4,-5.01,3,-5.22,-0.91,-1.4,2.91,2,-0.01,-0.26
R01-149,4.76,2.45,-2.07,-7.24,-2.33,4.77,7.72,-8.53,4.75,-3.94,5.64,-5.79,0,-1.59,1.24,-3.29,0.49,-0.14
R01-151,5.62,15.97,-1.81,-9.66,-1.53,5.01,8.9,-8.47,3.13,-3.2,10.24,-7.59,-0.27,-0.26,-1.54,-0.56,0.21,-0.21
R01-152,2.63,-3.95,-0.69,-6.29,-2.05,2.55,0.18,-6.92,3.12,-4.88,1.35,-1.77,1.52,1.88,-2.72,1.01,0.88,-0.99
R01-154,5.78,0.38,-2.62,-7.66,7.95,-0.56,-0.96,-7.23,3.01,-5.34,10.7,-7.44,-0.43,4.86,-5.25,1.02,1.44,0.4
R01-161,4.76,-6.76,-2.33,-5.3,-2.39,9.21,8.69,-11.53,9.38,-8.68,1.22,-2.94,3.41,1.44,-0.04,4.55,-0.59,0.25
R01-162,0.4,-1.69,-0.86,-4.28,1.74,-0.83,-1.86,-6.43,3.64,-5.82,1.89,-3.53,-0.96,0.69,0.32,0.85,0.57,-0.08
